dataset,n,full_scrd_correct,full_scrd_acc,wo_evaluator_action_mapper_correct,wo_evaluator_action_mapper_acc,delta_ablation_minus_full_pp,both_correct,both_wrong,full_wins,ablation_wins,net_full_minus_ablation,avg_full_scrd_tokens,avg_ablation_tokens,avg_token_delta_ablation_minus_full,avg_full_actual_rounds,avg_ablation_rounds
math,198,110,0.5555555555555556,96,0.48484848484848486,-7.070707070707072,76,68,34,20,14,11469.20707070707,17768.449494949495,6299.242424242424,3.1262626262626263,5.0
gsm8k,200,114,0.57,94,0.47,-9.999999999999998,68,60,46,26,20,11896.195,17828.375,5932.18,3.205,5.0
multiarith,200,178,0.89,172,0.86,-3.0000000000000027,158,8,20,14,6,8140.89,16324.615,8183.724999999999,2.575,5.0
OVERALL,598,402,0.6722408026755853,362,0.6053511705685619,-6.688963210702337,302,136,100,60,40,10498.862876254181,17305.603678929765,6806.740802675586,2.968227424749164,5.0
