dataset,n,missing_trace_count,full_scrd_correct,full_scrd_acc,wo_decision_head_correct,wo_decision_head_acc,delta_acc_pp,both_correct,both_wrong,full_wins,ablation_wins,net_full_minus_ablation,answer_changed_count,answer_changed_pct,avg_tokens_same_as_full_scrd
math,80,0,47,0.5875,51,0.6375,4.999999999999993,45,27,2,6,-4,19,0.2375,10078.1625
gsm8k,80,0,48,0.6,58,0.725,12.5,47,21,1,11,-10,17,0.2125,9381.3125
multiarith,80,0,77,0.9625,75,0.9375,-2.500000000000002,75,3,2,0,2,4,0.05,6411.05
OVERALL,240,0,172,0.7166666666666667,184,0.7666666666666667,5.000000000000004,167,51,5,17,-12,40,0.16666666666666666,8623.508333333333
