dataset,n,full_scrd_correct,full_scrd_acc,wo_history_filtering_correct,wo_history_filtering_acc,delta_ablation_minus_full_pp,both_correct,both_wrong,full_wins,ablation_wins,net_full_minus_ablation,avg_full_scrd_tokens,avg_ablation_tokens,avg_token_delta_ablation_minus_full,avg_full_actual_rounds,avg_ablation_rounds,ablation_rollback_count,ablation_rollback_pct,ablation_early_stop_count,ablation_early_stop_pct
math,195,110,0.5641025641025641,97,0.49743589743589745,-6.666666666666665,80,68,30,17,13,11385.45641025641,13717.83076923077,2332.374358974359,3.1076923076923078,3.2666666666666666,84,0.4307692307692308,111,0.5692307692307692
gsm8k,200,114,0.57,111,0.555,-1.4999999999999902,85,60,29,26,3,11896.195,12187.94,291.7450000000008,3.205,3.005,60,0.3,140,0.7
multiarith,200,178,0.89,169,0.845,-4.5000000000000036,156,9,22,13,9,8140.89,9820.845,1679.954999999999,2.575,2.715,44,0.22,156,0.78
OVERALL,595,402,0.6756302521008404,377,0.6336134453781512,-4.201680672268915,321,137,81,56,25,10466.52268907563,11893.670588235294,1427.147899159664,2.961344537815126,2.9932773109243698,188,0.31596638655462184,407,0.6840336134453782
