dataset,n,rerun_count,reused_count,rollback_suppressed_count,full_scrd_correct,full_scrd_acc,wo_rollback_correct,wo_rollback_acc,delta_wo_minus_full_pp,both_correct,both_wrong,full_wins,ablation_wins,net_full_minus_ablation,answer_changed_count,answer_changed_pct,avg_full_scrd_tokens,avg_wo_rollback_tokens,avg_token_delta_wo_minus_full,rollback_subset_n,rollback_subset_full_acc,rollback_subset_wo_rollback_acc,rollback_subset_avg_full_tokens,rollback_subset_avg_wo_tokens
math,79,21,58,8,47,0.5949367088607594,45,0.569620253164557,-2.5316455696202445,42,29,5,3,2,15,0.189873417721519,10053.60759493671,8388.974683544304,-1664.6329113924057,21,0.38095238095238093,0.2857142857142857,16890.14285714286,10627.952380952382
gsm8k,80,22,58,12,48,0.6,50,0.625,2.500000000000002,45,27,3,5,-2,15,0.1875,9381.3125,7492.9625,-1888.3500000000004,22,0.36363636363636365,0.45454545454545453,15525.863636363636,8659.136363636364
multiarith,80,10,70,5,77,0.9625,75,0.9375,-2.500000000000002,75,3,2,0,2,3,0.0375,6411.05,5783.8625,-627.1875,10,0.9,0.7,11477.8,6460.3
OVERALL,239,53,186,25,172,0.7196652719665272,170,0.7112970711297071,-0.8368200836820106,162,59,10,8,2,33,0.13807531380753138,8609.305439330545,7217.050209205021,-1392.2552301255237,53,0.4716981132075472,0.4339622641509434,15302.641509433963,9024.358490566037
