dataset,n,full_scrd_correct,full_scrd_acc,wo_history_filtering_correct,wo_history_filtering_acc,delta_ablation_minus_full_pp,both_correct,both_wrong,full_wins,ablation_wins,net_full_minus_ablation,avg_full_scrd_tokens,avg_ablation_tokens,avg_token_delta_ablation_minus_full,avg_full_actual_rounds,avg_ablation_rounds,ablation_rollback_count,ablation_rollback_pct,ablation_early_stop_count,ablation_early_stop_pct
math,79,50,0.6329113924050633,38,0.4810126582278481,-15.189873417721522,33,24,17,5,12,10128.025316455696,13309.87341772152,3181.848101265823,2.8860759493670884,3.1392405063291138,31,0.3924050632911392,48,0.6075949367088608
gsm8k,80,58,0.725,46,0.575,-15.000000000000002,42,18,16,4,12,9381.3125,11691.1375,2309.8250000000007,2.8125,2.925,24,0.3,56,0.7
multiarith,80,75,0.9375,64,0.8,-13.749999999999996,62,3,13,2,11,6411.05,10008.3375,3597.2874999999995,2.2875,2.7375,23,0.2875,57,0.7125
OVERALL,239,183,0.7656903765690377,148,0.6192468619246861,-14.644351464435157,137,45,46,11,35,8633.903765690377,11662.92050209205,3029.016736401674,2.6610878661087867,2.933054393305439,78,0.3263598326359833,161,0.6736401673640168
