analysis,setting,dataset,n,acc_pct,avg_tokens,avg_effective_rounds,avg_actual_rounds,rollback_count,rollback_pct,rollback_acc_pct,rollback_avg_tokens,early_stop_count,early_stop_pct,early_stop_acc_pct,early_stop_avg_tokens,used_correct_col,used_token_col,effective_round_col,actual_round_col,stop_reason_col,source_file
max_round,max_round=3,gsm8k,80,50.0,10162.25,2.58,2.81,19,23.75,52.63,13977.32,61,76.25,49.18,8973.95,scrd_correct,scrd_total_tokens,effective_rounds_used,actual_rounds_executed,stop_reason,outputs\sensitivity\max_round_3\gsm8k\results.jsonl
max_round,max_round=5/default,gsm8k,80,72.5,9381.31,2.54,2.81,22,27.5,59.09,15525.86,58,72.5,77.59,7050.62,wo_decision_head_correct,wo_decision_head_total_tokens,effective_rounds_used,actual_rounds_executed,stop_reason,outputs\ablation\wo_decision_head\gsm8k\results.jsonl
max_round,max_round=7,gsm8k,80,48.75,14591.88,3.12,3.68,44,55.0,38.64,18159.18,36,45.0,61.11,10231.83,scrd_correct,scrd_total_tokens,effective_rounds_used,actual_rounds_executed,stop_reason,outputs\sensitivity\max_round_7\gsm8k\results.jsonl
rollback_threshold,rollback_threshold=0 / w/o rollback,gsm8k,80,63.75,7720.76,2.42,2.42,0,0.0,,,80,100.0,63.75,7720.76,wo_rollback_correct,wo_rollback_total_tokens,effective_rounds_used,actual_rounds_executed,stop_reason,outputs\ablation\wo_rollback_v2\gsm8k\results.jsonl
rollback_threshold,rollback_threshold=1 / default,gsm8k,80,72.5,9381.31,2.54,2.81,22,27.5,59.09,15525.86,58,72.5,77.59,7050.62,wo_decision_head_correct,wo_decision_head_total_tokens,effective_rounds_used,actual_rounds_executed,stop_reason,outputs\ablation\wo_decision_head\gsm8k\results.jsonl
rollback_threshold,rollback_threshold=2,gsm8k,80,50.0,12545.59,2.89,3.28,31,38.75,48.39,18381.77,49,61.25,51.02,8853.31,scrd_correct,scrd_total_tokens,effective_rounds_used,actual_rounds_executed,stop_reason,outputs\sensitivity\rollback_2\gsm8k\results.jsonl
