dataset,n,full_scrd_correct,full_scrd_acc,wo_evaluator_action_mapper_correct,wo_evaluator_action_mapper_acc,delta_ablation_minus_full_pp,both_correct,both_wrong,full_wins,ablation_wins,net_full_minus_ablation,avg_full_scrd_tokens,avg_ablation_tokens,avg_token_delta_ablation_minus_full,avg_full_actual_rounds,avg_ablation_rounds
math,80,51,0.6375,37,0.4625,-17.499999999999993,31,23,20,6,14,10078.1625,17993.8875,7915.725,2.875,5.0
gsm8k,80,58,0.725,42,0.525,-19.999999999999996,34,14,24,8,16,9381.3125,17773.7125,8392.400000000001,2.8125,5.0
multiarith,80,75,0.9375,69,0.8625,-7.499999999999996,66,2,9,3,6,6411.05,16588.3125,10177.2625,2.2875,5.0
OVERALL,240,184,0.7666666666666667,148,0.6166666666666667,-15.000000000000002,131,39,53,17,36,8623.508333333333,17451.970833333333,8828.4625,2.658333333333333,5.0
