dataset,n,rerun_count,reused_count,reference_full_scrd_correct,reference_full_scrd_acc,wo_rollback_correct,wo_rollback_acc,delta_wo_minus_reference_pp,full_wins,ablation_wins,net_full_minus_ablation,avg_reference_tokens,avg_wo_rollback_tokens,avg_token_delta_wo_minus_reference,rollback_subset_n,rollback_subset_reference_correct,rollback_subset_reference_acc,rollback_subset_wo_correct,rollback_subset_wo_acc,rollback_subset_avg_reference_tokens,rollback_subset_avg_wo_tokens,rollback_subset_avg_token_delta_wo_minus_reference
math,197,75,122,109,0.5532994923857868,102,0.5177664974619289,-3.5532994923857864,12,5,7,11441.822335025381,8571.989847715737,-2869.8324873096444,75,26,0.3466666666666667,19,0.25333333333333335,16642.573333333334,9104.48,-7538.093333333334
gsm8k,200,88,112,114,0.57,105,0.525,-4.499999999999993,23,14,9,11896.195,8144.18,-3752.0149999999994,88,36,0.4090909090909091,27,0.3068181818181818,16732.079545454544,8204.772727272728,-8527.306818181816
multiarith,200,31,169,178,0.89,179,0.895,0.5000000000000004,5,6,-1,8140.89,7036.355,-1104.5350000000008,31,24,0.7741935483870968,25,0.8064516129032258,14387.90322580645,7261.870967741936,-7126.032258064515
OVERALL,597,194,403,401,0.6716917922948074,386,0.6465661641541038,-2.5125628140703515,40,25,15,10488.201005025127,7914.219430485762,-2573.981574539364,194,86,0.44329896907216493,71,0.36597938144329895,16322.89175257732,8401.927835051547,-7920.9639175257735
