dataset,n,single_correct,single_acc_pct,round1_vote_correct,round1_vote_acc_pct,vanilla5_correct,vanilla5_acc_pct,scrd_correct,scrd_acc_pct,scrd_minus_single_acc_pp,scrd_minus_round1_acc_pp,scrd_minus_vanilla5_acc_pp,avg_single_tokens,avg_round1_vote_tokens,avg_vanilla5_tokens,avg_scrd_tokens,avg_scrd_effective_rounds,avg_scrd_actual_rounds,rollback_count,rollback_pct,early_stop_count,early_stop_pct
addsub,80,80,100.0,79,98.75,79,98.75,80,100.0,0.0,1.25,1.25,372.9,1100.1,7052.2,6569.2,2.48,2.48,0,0.0,80,100.0
asdiv,80,74,92.5,73,91.25,73,91.25,74,92.5,0.0,1.25,1.25,366.4,1082.0,6992.9,7292.1,2.61,2.67,5,6.25,75,93.75
gsm8k,80,41,51.25,43,53.75,26,32.5,48,60.0,8.75,6.25,27.5,421.9,1242.8,7831.3,9381.3,2.54,2.81,22,27.5,58,72.5
math,80,30,37.5,35,43.75,31,38.75,47,58.75,21.25,15.0,20.0,436.0,1295.1,7888.3,10078.2,2.6,2.88,22,27.5,58,72.5
multiarith,80,71,88.75,68,85.0,42,52.5,77,96.25,7.5,11.25,43.75,397.5,1167.8,7349.0,6411.1,2.16,2.29,10,12.5,70,87.5
singleeq,80,76,95.0,75,93.75,72,90.0,77,96.25,1.25,2.5,6.25,376.9,1110.7,7072.6,7508.6,2.62,2.7,6,7.5,74,92.5
svamp,80,68,85.0,63,78.75,62,77.5,66,82.5,-2.5,3.75,5.0,391.2,1146.3,7289.8,7094.5,2.33,2.46,11,13.75,69,86.25
OVERALL_WEIGHTED,560,440,78.57,436,77.86,385,68.75,469,83.75,,,,394.7,1163.6,7353.7,7762.1,2.48,2.61,76,13.57,484,86.43
