dataset,agent_total_tokens,recorder_total_tokens,evaluator_total_tokens,repair_brief_total_tokens,repair_evaluator_total_tokens,repair_agent_total_tokens,scrd_total_tokens
addsub,3987.9,1787.3,794.0,0.0,0.0,0.0,6569.2
asdiv,4057.5,1986.8,825.9,44.3,87.1,290.5,7292.2
gsm8k,4169.7,2697.9,786.4,217.0,336.5,1173.9,9381.3
math,4591.5,2893.7,871.4,226.1,324.4,1171.0,10078.2
multiarith,3389.6,1836.9,611.8,82.7,116.2,373.8,6411.0
singleeq,4224.9,2037.7,861.3,69.0,71.5,244.2,7508.6
svamp,3663.4,2005.2,680.4,94.0,152.3,499.1,7094.5
