setting_name,setting_value,dataset,n,correct,accuracy,accuracy_percent,avg_total_tokens,avg_prompt_tokens,avg_completion_tokens,avg_effective_rounds,avg_actual_rounds,rollback_events,rollback_samples,rollback_sample_rate,missing_trace_count,fallback_to_scrd_correct_count,used_result_last_round_mv_count,used_result_answers_count,used_trace_count,source
rollback_limit,0,gsm8k,200,105,0.525,52.5,8144.18,7062.07,1082.11,2.435,2.435,0,0,0.0,0,0,112.0,88.0,0.0,C:\Users\chen\Desktop\MY_MAD\outputs\ablation\wo_rollback_v2\gsm8k
rollback_limit,1,gsm8k,200,114,0.57,57.0,11896.195,10293.37,1602.825,2.765,3.205,88,88,0.44,0,0,,,,C:\Users\chen\Desktop\MY_MAD\outputs_with_last_round_majority_vote\sample_level_results.jsonl
rollback_limit,2,gsm8k,200,92,0.46,46.0,13178.95,11334.555,1844.395,2.92,3.385,93,93,0.465,0,0,0.0,0.0,200.0,C:\Users\chen\Desktop\MY_MAD\outputs\sensitivity\rollback_2\gsm8k
rollback_limit,3,gsm8k,200,90,0.45,45.0,12686.845,10919.635,1767.21,2.81,3.28,94,94,0.47,0,0,0.0,0.0,200.0,C:\Users\chen\Desktop\MY_MAD\outputs\sensitivity\rollback_3\gsm8k
