dataset,n,triggered_n,full_overall_correct,wo_overall_correct,full_overall_acc,wo_overall_acc,full_triggered_correct,wo_triggered_correct,full_triggered_acc,wo_triggered_acc,overall_gain_pp,triggered_gain_pp
math,198,76,110,104,55.55555555555556,52.525252525252526,27,21,35.526315789473685,27.63157894736842,3.0303030303030303,7.894736842105263
gsm8k,200,88,114,106,57.0,53.0,36,28,40.90909090909091,31.818181818181817,4.0,9.090909090909092
multiarith,200,31,178,176,89.0,88.0,24,22,77.41935483870968,70.96774193548387,1.0,6.451612903225806
overall,598,195,402,386,67.22408026755853,64.54849498327759,87,71,44.61538461538461,36.41025641025641,2.6755852842809364,8.205128205128204
