setting_name,setting_value,dataset,n,correct,accuracy,accuracy_percent,avg_total_tokens,avg_prompt_tokens,avg_completion_tokens,avg_effective_rounds,avg_actual_rounds,rollback_events,rollback_samples,rollback_sample_rate,missing_trace_count,fallback_to_scrd_correct_count,source
max_round,1,gsm8k,200,91,0.455,45.5,1238.165,,,1.0,1.0,0,0,0.0,0,0,C:\Users\chen\Desktop\MY_MAD\outputs_with_last_round_majority_vote\sample_level_results.jsonl
max_round,3,gsm8k,200,97,0.485,48.5,10519.92,9056.0,1463.92,2.59,2.87,56,56,0.28,0,0,C:\Users\chen\Desktop\MY_MAD\outputs\sensitivity\max_round_3\gsm8k
max_round,5,gsm8k,200,114,0.57,57.0,11896.195,10293.37,1602.825,2.765,3.205,88,88,0.44,0,0,C:\Users\chen\Desktop\MY_MAD\outputs_with_last_round_majority_vote\sample_level_results.jsonl
max_round,7,gsm8k,200,100,0.5,50.0,14224.89,12249.195,1975.695,3.06,3.61,110,110,0.55,0,0,C:\Users\chen\Desktop\MY_MAD\outputs\sensitivity\max_round_7\gsm8k
