dataset,n,rerun_count,reused_count,reference_full_scrd_correct,reference_full_scrd_acc,wo_rollback_correct,wo_rollback_acc,delta_wo_minus_reference_pp,full_wins,ablation_wins,net_full_minus_ablation,avg_reference_tokens,avg_wo_rollback_tokens,avg_token_delta_wo_minus_reference,rollback_subset_n,rollback_subset_reference_correct,rollback_subset_reference_acc,rollback_subset_wo_correct,rollback_subset_wo_acc,rollback_subset_avg_reference_tokens,rollback_subset_avg_wo_tokens,rollback_subset_avg_token_delta_wo_minus_reference,reference_fallback_count
math,198,76,122,110,0.5555555555555556,104,0.5252525252525253,-3.0303030303030276,12,6,6,11469.20707070707,8283.121212121212,-3186.0858585858587,76,27,0.35526315789473684,21,0.27631578947368424,16645.486842105263,8344.894736842105,-8300.592105263158,0
gsm8k,200,88,112,114,0.57,106,0.53,-3.9999999999999925,16,8,8,11896.195,8091.755,-3804.4399999999996,88,36,0.4090909090909091,28,0.3181818181818182,16732.079545454544,8085.625,-8646.454545454544,0
multiarith,200,31,169,178,0.89,176,0.88,-1.0000000000000009,5,3,2,8140.89,7228.67,-912.2200000000003,31,24,0.7741935483870968,22,0.7096774193548387,14387.90322580645,8502.612903225807,-5885.290322580644,0
OVERALL,598,195,403,402,0.6722408026755853,386,0.6454849498327759,-2.6755852842809347,33,17,16,10498.862876254181,7866.459866220735,-2632.403010033445,195,87,0.4461538461538462,71,0.3641025641025641,16325.666666666666,8252.964102564103,-8072.702564102564,0
