method,coverage_n,accuracy,mean_total_tokens,median_total_tokens,accuracy_per_1k_tokens,note
Single Agent,199,0.6432160804020101,256.41206030150755,254.0,2.508525065652804,One-shot single-agent baseline
Round-1 Majority Vote,199,0.6432160804020101,770.9447236180905,763.0,0.8343219178975088,Majority vote on round-1 answers
Round-3 Majority Vote,32,0.65625,9782.59375,9511.5,0.06708343582191584,Only samples with an available third round in trace; token cost = cumulative SCRD tokens up to round 3
SCRD Final,199,0.5829145728643216,5903.859296482412,4277.0,0.09873449613062915,Final system output
