dataset,n,rerun_count,reused_count,reference_full_scrd_correct,reference_full_scrd_acc,wo_rollback_correct,wo_rollback_acc,delta_wo_minus_reference_pp,full_wins,ablation_wins,net_full_minus_ablation,avg_reference_tokens,avg_wo_rollback_tokens,avg_token_delta_wo_minus_reference,rollback_subset_n,rollback_subset_reference_correct,rollback_subset_reference_acc,rollback_subset_wo_correct,rollback_subset_wo_acc,rollback_subset_avg_reference_tokens,rollback_subset_avg_wo_tokens,rollback_subset_avg_token_delta_wo_minus_reference
math,80,22,58,51,0.6375,50,0.625,-1.2499999999999956,2,1,1,10078.1625,7883.225,-2194.9375,22,7,0.3181818181818182,6,0.2727272727272727,16668.68181818182,8687.09090909091,-7981.59090909091
gsm8k,80,22,58,58,0.725,51,0.6375,-8.750000000000002,8,1,7,9381.3125,7720.7625,-1660.5500000000002,22,13,0.5909090909090909,6,0.2727272727272727,15525.863636363636,9487.5,-6038.363636363636
multiarith,80,10,70,75,0.9375,75,0.9375,0.0,1,1,0,6411.05,5834.325,-576.7250000000004,10,8,0.8,8,0.8,11477.8,6864.0,-4613.799999999999
OVERALL,240,54,186,184,0.7666666666666667,176,0.7333333333333333,-3.3333333333333437,11,3,8,8623.508333333333,7146.104166666667,-1477.4041666666667,54,28,0.5185185185185185,20,0.37037037037037035,15241.814814814816,8675.574074074075,-6566.240740740741
