dataset,n,rerun_count,reused_count,rollback_suppressed_count,full_scrd_correct,full_scrd_acc,wo_rollback_correct,wo_rollback_acc,delta_wo_minus_full_pp,both_correct,both_wrong,full_wins,ablation_wins,net_full_minus_ablation,answer_changed_count,answer_changed_pct,avg_full_scrd_tokens,avg_wo_rollback_tokens,avg_token_delta_wo_minus_full,rollback_subset_n,rollback_subset_full_acc,rollback_subset_wo_rollback_acc,rollback_subset_avg_full_tokens,rollback_subset_avg_wo_tokens
multiarith,200,31,169,16,178,0.89,175,0.875,-1.5000000000000013,175,22,3,0,3,5,0.025,8140.89,6968.32,-1172.5700000000006,31,0.8064516129032258,0.7096774193548387,14387.90322580645,6822.935483870968
OVERALL,200,31,169,16,178,0.89,175,0.875,-1.5000000000000013,175,22,3,0,3,5,0.025,8140.89,6968.32,-1172.5700000000006,31,0.8064516129032258,0.7096774193548387,14387.90322580645,6822.935483870968
