dataset,n,decision_head_correct,decision_head_acc,last_round_majority_correct,last_round_majority_acc,delta_last_round_mv_minus_decision_head_pp,both_correct,both_wrong,decision_head_wins,last_round_mv_wins,net_last_round_mv_minus_decision_head,answer_changed_count,answer_changed_pct,missing_trace_count
addsub,200,196,0.98,196,0.98,0.0,196,4,0,0,0,6,0.03,0
asdiv,200,173,0.865,174,0.87,0.5000000000000004,173,26,0,1,1,17,0.085,0
gsm8k,200,107,0.535,114,0.57,3.499999999999992,95,74,12,19,7,59,0.295,0
math,198,104,0.5252525252525253,110,0.5555555555555556,3.0303030303030276,95,79,9,15,6,49,0.2474747474747475,0
multiarith,200,178,0.89,178,0.89,0.0,171,15,7,7,0,16,0.08,0
singleeq,200,194,0.97,193,0.965,-0.5000000000000004,189,2,5,4,-1,9,0.045,0
svamp,200,172,0.86,175,0.875,1.5000000000000013,166,19,6,9,3,25,0.125,0
OVERALL,1398,1124,0.804005722460658,1140,0.8154506437768241,1.1444921316166035,1085,219,39,55,16,181,0.12947067238912732,
